"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","IODIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_3300",2016,9,260,2016-03-02 17:38:00,"BS30448_2016","Female",12.89583333,1227.07466,6209.255936,22,0.291835085,0.383185125,0.32497979,0.54109589,7.11238829045553,8.73379635067964,-48.11297,-40.87927,7.2337,4.36,0.091,-0.1,-0.471853055,1,1,"no attempt"
"waal_3300",2016,9,259,2016-02-14 17:59:00,"BS30448_2016","Female",8.71875,1437.747335,5883.009349,19,0.204301075,0.308243728,0.487455197,0.387387387,7.27083281700147,8.67982370401839,-46.35916,-36.65589,9.70327,1.35,-0.03,-3.2,-0.471853055,1,1,"no attempt"
"waal_3300",2016,9,261,2016-03-25 14:05:00,"BS30448_2016","Female",5.0625,1044.752353,3556.085025,9,0.113402062,0.354639175,0.531958763,0.4,6.95153515353894,8.17641550664041,-47.0887,-39.90229,7.18641,4.36,0.091,-0.1,-0.471853055,1,1,"no attempt"
"waal_3300",2016,9,258,2016-01-19 21:00:00,"BS30448_2016","Female",15.85416667,1323.976581,8038.838488,37,0.333990796,0.307034845,0.358974359,0.46100691,7.18839504827405,8.99203988507003,-49.32887,-34.58011,14.74876,3.13,0.331,-3.6,-0.471853055,1,1,"no attempt"
"waal_3323",2019,28,459,2019-02-18 14:02:00,"BS31571_2019","Female",9.78125,1944.537197,7364.909891,23,0.198083067,0.346112886,0.455804047,0.431606906,7.572779282752,8.90448209406289,-46.66899,-33.29203,13.37696,-1.87,0.496,-2.3,NA,1,1,"failedrep"
"waal_4624",2018,NA,427,2018-02-11 05:34:00,"BS33114_2018","Female",7.989583333,112.1454421,1383.429877,32,0.514360313,0.442558747,0.04308094,0.911290323,4.71979661903468,7.23232111272379,-47.05871,-46.21695,0.841760000000001,1.02,0.295,-0.8,NA,NA,NA,NA
"waal_4624",2018,NA,428,2018-03-04 10:58:00,"BS33114_2018","Female",13.69791667,1116.049253,6727.589225,35,0.361491629,0.301369863,0.337138508,0.471990465,7.01755027547995,8.81397214524072,-47.39565,-36.4609,10.93475,-0.03,-0.02,2.4,NA,NA,NA,NA
"waal_3392",2015,44,165,2015-01-21 18:29:00,"BS4655_2015","Female",4.791666667,134.8440913,1359.285392,16,0.31372549,0.579520697,0.106753813,0.844444444,4.90411923179223,7.21471439357559,-46.35766,-45.19551,1.16215,1.35,-0.034,-1.4,2.422793495,1,1,"no attempt"
"waal_3392",2015,44,166,2015-02-01 09:42:00,"BS4655_2015","Female",11.375,1590.580928,6258.337493,27,0.245646196,0.365719523,0.38863428,0.484811665,7.37185459200729,8.74166985262446,-46.54891,-32.96171,13.5872,4.92,-0.265,0.4,2.422793495,1,1,"no attempt"
"waal_3758",2014,36,703,2014-04-10 16:50:00,"BS5750_2014_b","Female",1.760416667,121.9053492,641.0304726,2,0.196428571,0.613095238,0.19047619,0.762962963,4.80324491739483,6.46307699494829,-46.59183,-45.5007,1.09113,1.18,0.017,1.3,-1.075305011,1,1,"no attempt"
"waal_4061",2011,36,501,2011-01-25 14:11:00,"BS6563_2011","Female",15.45833333,1847.708554,8053.472913,39,0.311994609,0.300539084,0.387466307,0.436826641,7.52170153088982,8.9938586951427,-46.37116,-30.97575,15.39541,0.48,0.257,3.8,2.370409974,1,1,"no attempt"
"waal_4061",2013,38,92,2013-01-20 15:20:00,"BS6563_2013","Female",19.75,1903.381547,8162.257844,56,0.401583113,0.302902375,0.295514512,0.50617284,7.5513873448345,9.00727610625334,-47.43202,-33.71703,13.71499,0.71,0.001,-0.1,2.370409974,1,0,"no attempt"
"waal_4061",2014,39,112,2014-01-21 08:53:00,"BS6563_2014","Female",23.95833333,2516.708651,13249.947,61,0.343043478,0.255217391,0.40173913,0.388484447,7.83070723595237,9.49174883140637,-47.09881,-29.70054,17.39827,-0.13,-0.036,2.4,2.370409974,1,1,"failedrep"
"waal_4101",2011,42,502,2011-02-10 13:09:00,"BS6701_2011","Female",5.072916667,223.228699,713.6813746,27,0.565843621,0.360082305,0.074074074,0.829383886,5.40819680199059,6.57043660867698,-46.85118,-45.61998,1.2312,0.87,0.322,4.5,-1.021896952,1,1,"no attempt"
"waal_4151",2011,35,503,2011-02-15 05:14:00,"BS7046_2011","Female",4.947916667,74.87146723,602.1982884,21,0.508438819,0.462025316,0.029535865,0.939914163,4.31577287308544,6.40058677379849,-46.39764,-45.76706,0.630580000000002,0.87,0.322,4.5,-0.736209285,1,1,"no attempt"
"waal_4558",2013,24,699,2013-03-27 11:00:00,"BS9800_2013_b","Female",3.28125,1026.524346,2740.177367,5,0.165605096,0.187898089,0.646496815,0.22519084,6.93393395366434,7.91577792976881,-46.46557,-40.05454,6.41103,2.31,0.183,2.5,-0.676362963,1,1,"no attempt"
"waal_4558",2013,24,698,2013-03-15 07:21:00,"BS9800_2013_b","Female",3.020833333,464.3991606,1425.863434,5,0.238754325,0.494809689,0.266435986,0.65,6.14074444232856,7.26253282780469,-48.04431,-46.14197,1.90234,2.31,0.183,2.5,-0.676362963,1,1,"no attempt"
"waal_4558",2013,24,697,2013-03-12 05:50:00,"BS9800_2013_b","Female",0.947916667,88.34057913,282.0687816,2,0.433333333,0.422222222,0.144444444,0.745098039,4.4811995618408,5.64215094758077,-46.8225,-46.3039,0.518599999999999,2.31,0.183,2.5,-0.676362963,1,1,"no attempt"
"waal_4607",2013,29,47,2013-02-25 11:30:00,"BS9986_2013","Female",7.927083333,1756.296171,6123.177881,6,0.086842105,0.285526316,0.627631579,0.312680115,7.47096242227386,8.71983650233803,-46.36224,-32.15657,14.20567,2.84,0.269,-0.4,-1.714593774,1,0,"no attempt"
