"DeploymentID","trackid","Year","Age","start_time","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","IODIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear","med_travel_dist","min_latitude","med_latitude","id"
"waal_2967_2013",686,2013,24,"2013-03-22 04:16:00","Male",1.427083333,108.8464961,358.2358866,3,0.455882353,0.441176471,0.102941176,0.810810811,4.68993859699248,5.88119167053798,-46.90451,-46.42939,0.475120000000004,2.31,0.183,2.5,-0.434299278,1,1,"no attempt",59.8842316616309,-46.90451,-46.815595,"waal_2967"
"waal_2967_2013",687,2013,24,"2013-03-25 07:55:00","Male",1.229166667,78.13475075,274.1596434,6,0.618644068,0.322033898,0.059322034,0.844444444,4.3584349098685,5.61371057686519,-46.97685,-46.42848,0.548369999999998,2.31,0.183,2.5,-0.434299278,1,1,"no attempt",13.6166554804535,-46.97685,-46.885995,"waal_2967"
"waal_2967_2013",688,2013,24,"2013-03-28 07:12:00","Male",1.760416667,81.61225321,323.2811046,6,0.636904762,0.267857143,0.095238095,0.737704918,4.40197941258415,5.77852223761665,-47.04004,-46.41065,0.629390000000001,2.31,0.183,2.5,-0.434299278,1,1,"no attempt",22.129299020347,-47.04004,-46.666185,"waal_2967"
"waal_2967_2013",689,2013,24,"2013-03-31 13:57:00","Male",2.708333333,150.6379759,456.1979293,6,0.646153846,0.280769231,0.073076923,0.793478261,5.01487944758842,6.12292677082201,-47.03037,-46.42828,0.602089999999997,2.31,0.183,2.5,-0.434299278,1,1,"no attempt",20.5228495219494,-47.03037,-46.6063,"waal_2967"
"waal_2980_2018",365,2018,9,"2018-02-04 10:12:00","Female",14.97916667,1355.110229,6265.362337,50,0.215031315,0.576896312,0.208072373,0.734929078,7.21163807982058,8.74279170077351,-48.49826,-44.02095,4.47731,1.02,0.295,-0.8,0.820210775,1,1,"no attempt",56.5292926022849,-48.29915,-45.47711,"waal_2980"
"waal_3091_2017",334,2017,24,"2017-02-24 06:46:00","Male",5,275.2808012,1594.03923,15,0.478079332,0.334029228,0.187891441,0.64,5.61779167197613,7.37402647008872,-46.75468,-44.35921,2.39547,-1.09,0.181,-0.1,-2.294884629,1,1,"no attempt",35.0166102949872,-46.75468,-46.20817,"waal_3091"
"waal_3117_2019",471,2019,NA,"2019-01-20 12:29:00","Male",16.95833333,805.1501656,4123.595516,63,0.537185003,0.358328211,0.104486785,0.774236388,6.69102880113994,8.32448075982228,-50.24849,-45.5632,4.68528999999999,2.79,0.452,-0.1,-0.487817466,NA,NA,NA,44.4554399437636,-50.24849,-46.58012,"waal_3117"
"waal_3124_2019",482,2019,NA,"2019-02-01 10:30:00","Male",15.91666667,1488.033377,9255.023217,41,0.256712508,0.423706614,0.319580878,0.570044053,7.30521064592104,9.1329217335944,-49.43826,-43.04246,6.3958,-1.87,0.496,-2.3,-0.476451325,NA,NA,NA,50.6579496048865,-49.43826,-46.696285,"waal_3124"
"waal_4623_2012",535,2012,NA,"2012-02-25 15:07:00","Female",8.791666667,672.6861532,3136.507022,17,0.536180308,0.207591934,0.256227758,0.447570332,6.51127888090414,8.0508650463355,-47.38843,-41.38787,6.00056,-1.53,0.002,0.8,NA,NA,NA,NA,45.9949556138415,-47.38843,-45.26762,"waal_4623"
"waal_3289_2017",344,2017,27,"2017-02-22 14:41:00","Female",15.72916667,1669.534055,6683.401243,47,0.447978794,0.282968854,0.269052353,0.512605042,7.42029985749852,8.80738230506236,-46.93377,-34.21115,12.72262,-1.09,0.181,-0.1,NA,1,1,"no attempt",42.9021760366299,-46.93377,-44.28615,"waal_3289"
