"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_2967",2013,24,688,"2013-03-28 07:12:00","BS28284_2013_b","Male",1.760416667,81.61225321,323.2811046,6,0.636904762,0.267857143,0.095238095,0.737704918,4.40197941258415,5.77852223761665,-47.04004,-46.41065,0.629390000000001,2.31,2.5,-0.434299278,1,1,"no attempt"
"waal_3091",2017,24,334,"2017-02-24 06:46:00","BS28601_2017","Male",5,275.2808012,1594.03923,15,0.478079332,0.334029228,0.187891441,0.64,5.61779167197613,7.37402647008872,-46.75468,-44.35921,2.39547,-1.09,-0.1,-2.294884629,1,1,"no attempt"
"waal_3117",2019,NA,471,"2019-01-20 12:29:00","BS28713_2019","Male",16.95833333,805.1501656,4123.595516,63,0.537185003,0.358328211,0.104486785,0.774236388,6.69102880113994,8.32448075982228,-50.24849,-45.5632,4.68528999999999,2.79,-0.1,-0.487817466,NA,NA,NA
"waal_3124",2019,NA,482,"2019-02-01 10:30:00","BS28729_2019","Male",15.91666667,1488.033377,9255.023217,41,0.256712508,0.423706614,0.319580878,0.570044053,7.30521064592104,9.1329217335944,-49.43826,-43.04246,6.3958,-1.87,-2.3,-0.476451325,NA,NA,NA
"waal_3290",2016,9,205,"2016-03-20 15:13:00","BS30359_2016","Male",0.9375,107.7039082,303.0319868,3,0.370786517,0.415730337,0.213483146,0.660714286,4.67938587134054,5.71383836693427,-47.1373,-46.35939,0.777910000000006,4.36,-0.1,-0.183653508,1,1,"failedrep"
"waal_3290",2016,9,203,"2016-02-05 15:47:00","BS30359_2016","Male",27.6875,3275.443439,21518.59312,48,0.197591268,0.275875047,0.526533685,0.34380863,8.09420854012481,9.97667263667397,-68.94505,-35.46254,33.48251,1.35,-3.2,-0.183653508,1,1,"failedrep"
"waal_3290",2016,9,202,"2016-01-24 17:32:00","BS30359_2016","Male",4.09375,686.6833247,1971.929638,15,0.329081633,0.385204082,0.285714286,0.574144487,6.53187323209311,7.58676785399863,-47.05063,-43.38802,3.66261,3.13,-3.6,-0.183653508,1,1,"failedrep"
"waal_3290",2016,9,206,"2016-03-26 15:15:00","BS30359_2016","Male",2.635416667,82.59077506,324.9272585,9,0.671936759,0.312252964,0.015810277,0.951807229,4.4138979922077,5.7836013372783,-46.9717,-46.28837,0.683329999999998,4.36,-0.1,-0.183653508,1,1,"failedrep"
"waal_3290",2016,9,204,"2016-03-10 11:04:00","BS30359_2016","Male",8.145833333,1520.087123,5033.470005,18,0.311139565,0.221510883,0.467349552,0.321561338,7.32652292996088,8.52386488707752,-46.36702,-33.23225,13.13477,4.36,-0.1,-0.183653508,1,1,"failedrep"
"waal_3290",2018,11,371,"2018-01-18 11:32:00","BS30359_2018","Male",18.05208333,2834.844467,9700.488236,46,0.256928406,0.397228637,0.345842956,0.534576535,7.9497423529285,9.17993149683303,-63.55909,-44.90568,18.65341,2.72,1.8,-0.183653508,1,1,"no attempt"
